标定时间,20260130_210816
变量名,G.fn_value
拟合公式,Force (N) = 0.00106976 * G.fn_value + -0.63060292
斜率 (k),0.001069762396205606
截距 (b),-0.6306029225834596

重量(g),总样本数,有效样本数,传感器均值,标准差,实际力(N),预测力(N),误差(N)
0,84,83,584.72,4.37,0.0000,-0.0051,-0.0051
1,84,83,592.66,6.23,0.0098,0.0034,-0.0064
2,84,81,597.96,8.48,0.0196,0.0091,-0.0105
5,84,82,633.70,11.67,0.0490,0.0473,-0.0017
10,85,84,682.43,18.79,0.0981,0.0994,0.0014
20,85,82,768.02,27.97,0.1961,0.1910,-0.0051
50,86,84,1066.08,25.00,0.4903,0.5099,0.0195
100,81,81,1530.64,3.54,0.9807,1.0068,0.0262
200,83,82,2405.94,9.59,1.9613,1.9432,-0.0181
