标定生成时间,20260829_163043
标定通道,传感器 3 / G.fn_2_value (导丝主端轴向推拉力通道)
PLC接口变量,G.fn_2_value
拟合公式_G.fn_2_value,Force (N) = 0.001134444473 * G.fn_2_value + 0.87021858
斜率_k_G.fn_2_value,0.001134444473
截距_b_G.fn_2_value,0.87021858
R2_G.fn_2_value,0.999936

重量(g),实际力(N),G.ft_1_value_均值,G.ft_1_value_标准差,G.ft_1_value_有效样本,G.fn_1_value_均值,G.fn_1_value_标准差,G.fn_1_value_有效样本,G.fn_2_value_均值,G.fn_2_value_标准差,G.fn_2_value_有效样本,G.ft_2_value_均值,G.ft_2_value_标准差,G.ft_2_value_有效样本
0.0,0.000000,0.000,0.000,57,0.000,0.000,57,-765.351,1.681,57,-4865.263,0.889,57
2.0,0.019613,0.000,0.000,59,0.000,0.000,59,-751.712,3.048,59,-4858.797,1.147,59
5.0,0.049033,0.000,0.000,55,0.000,0.000,55,-724.745,2.855,55,-4856.037,19.568,54
10.0,0.098067,0.000,0.000,59,0.000,0.000,59,-680.068,2.822,59,-4857.559,1.139,59
20.0,0.196133,0.000,0.000,58,0.000,0.000,58,-593.448,3.223,58,-4857.603,1.325,58
50.0,0.490333,0.000,0.000,60,0.000,0.000,60,-335.136,3.149,59,-4857.153,1.233,59
