标定生成时间,20260829_163556
标定通道,传感器 4 / G.ft_2_value (导丝主端侧向力/扭矩通道)
PLC接口变量,G.ft_2_value
拟合公式_G.ft_2_value,Force (N) = 0.000133373639 * G.ft_2_value + 0.57396876
斜率_k_G.ft_2_value,0.000133373639
截距_b_G.ft_2_value,0.57396876
R2_G.ft_2_value,0.999974

重量(g),实际力(N),G.ft_1_value_均值,G.ft_1_value_标准差,G.ft_1_value_有效样本,G.fn_1_value_均值,G.fn_1_value_标准差,G.fn_1_value_有效样本,G.fn_2_value_均值,G.fn_2_value_标准差,G.fn_2_value_有效样本,G.ft_2_value_均值,G.ft_2_value_标准差,G.ft_2_value_有效样本
0.0,0.000000,0.000,0.000,61,0.000,0.000,61,-787.400,3.067,60,-4309.483,1.297,60
2.0,0.019613,0.000,0.000,60,0.000,0.000,60,-786.750,27.828,60,-4143.633,1.402,60
5.0,0.049033,0.000,0.000,60,0.000,0.000,60,-788.600,2.169,60,-3936.633,1.110,60
10.0,0.098067,0.000,0.000,57,0.000,0.000,57,-784.333,2.651,57,-3570.439,1.338,57
20.0,0.196133,0.000,0.000,59,0.000,0.000,59,-780.644,2.851,59,-2839.000,1.737,59
50.0,0.490333,0.000,0.000,59,0.000,0.000,59,-780.017,3.060,58,-624.695,32.944,59
