标定时间,20260130_212112
变量名,G.fn_value
拟合公式,Force (N) = 0.00108104 * G.fn_value + -0.31384209
斜率 (k),0.0010810428390861761
截距 (b),-0.31384208645468886

重量(g),总样本数,有效样本数,传感器均值,标准差,实际力(N),预测力(N),误差(N)
0,84,80,285.74,9.40,0.0000,-0.0049,-0.0049
1,86,85,292.39,3.67,0.0098,0.0022,-0.0076
2,85,85,301.82,4.92,0.0196,0.0124,-0.0072
5,83,80,328.93,11.20,0.0490,0.0417,-0.0073
10,82,81,375.75,41.80,0.0981,0.0924,-0.0057
20,83,81,471.00,7.33,0.1961,0.1953,-0.0008
50,82,81,760.88,12.01,0.4903,0.5087,0.0184
100,83,80,1235.46,15.02,0.9807,1.0217,0.0411
200,83,81,2080.59,9.89,1.9613,1.9354,-0.0260
