标定生成时间,20260831_161347
标定通道,传感器 4 / G.ft_2_value (导丝主端侧向力/扭矩通道)
PLC接口变量,G.ft_2_value
拟合公式_G.ft_2_value,Force (N) = 0.000130548347 * G.ft_2_value + -0.06307914
斜率_k_G.ft_2_value,0.000130548347
截距_b_G.ft_2_value,-0.06307914
R2_G.ft_2_value,0.999977

重量(g),实际力(N),G.ft_1_value_均值,G.ft_1_value_标准差,G.ft_1_value_有效样本,G.fn_1_value_均值,G.fn_1_value_标准差,G.fn_1_value_有效样本,G.fn_2_value_均值,G.fn_2_value_标准差,G.fn_2_value_有效样本,G.ft_2_value_均值,G.ft_2_value_标准差,G.ft_2_value_有效样本
0.0,0.000000,0.000,0.000,56,0.000,0.000,56,-826.804,0.990,56,483.143,1.008,56
2.0,0.019613,0.000,0.000,57,0.000,0.000,57,-827.386,2.238,57,643.982,1.493,57
5.0,0.049033,0.000,0.000,59,0.000,0.000,59,-822.746,17.896,59,847.949,47.991,59
10.0,0.098067,0.000,0.000,54,0.000,0.000,54,-815.333,2.357,54,1233.667,1.644,54
20.0,0.196133,0.000,0.000,55,0.000,0.000,55,-816.600,2.952,55,1986.036,2.479,55
50.0,0.490333,0.000,0.000,58,0.000,0.000,58,-816.879,3.353,58,4239.684,2.779,57
