标定时间,20260130_214008
变量名,G.fn_value
拟合公式,Force (N) = 0.00108171 * G.fn_value + -0.05989764
斜率 (k),0.0010817117200362604
截距 (b),-0.0598976438970881

重量(g),总样本数,有效样本数,传感器均值,标准差,实际力(N),预测力(N),误差(N)
0,85,83,55.19,0.88,0.0000,-0.0002,-0.0002
1,84,82,64.32,0.84,0.0098,0.0097,-0.0001
2,85,82,74.76,1.18,0.0196,0.0210,0.0014
5,84,79,100.44,1.08,0.0490,0.0488,-0.0003
10,84,82,145.39,2.74,0.0981,0.0974,-0.0007
20,85,83,236.19,0.95,0.1961,0.1956,-0.0005
50,84,81,508.96,0.88,0.4903,0.4907,0.0003
100,84,84,962.26,0.99,0.9807,0.9810,0.0003
200,84,81,1868.40,1.38,1.9613,1.9612,-0.0002
