标定生成时间,20260912_092954
标定通道,传感器 2 / G.fn_1_value (导管从端轴向推拉力通道)
PLC接口变量,G.fn_1_value
拟合公式_G.fn_1_value,Force (N) = 0.000319519429 * G.fn_1_value + -0.04012571
斜率_k_G.fn_1_value,0.000319519429
截距_b_G.fn_1_value,-0.04012571
R2_G.fn_1_value,0.999985

重量(g),实际力(N),G.ft_1_value_均值,G.ft_1_value_标准差,G.ft_1_value_有效样本,G.fn_1_value_均值,G.fn_1_value_标准差,G.fn_1_value_有效样本,G.fn_2_value_均值,G.fn_2_value_标准差,G.fn_2_value_有效样本,G.ft_2_value_均值,G.ft_2_value_标准差,G.ft_2_value_有效样本
0.0,0.000000,-1075.411,0.492,56,125.696,0.460,56,0.000,0.000,56,0.000,0.000,56
2.0,0.019613,-1075.182,0.386,55,190.709,0.454,55,0.000,0.000,55,0.000,0.000,55
5.0,0.049033,-1075.340,0.474,53,277.849,0.407,53,0.000,0.000,53,0.000,0.000,53
10.0,0.098067,-1075.291,0.652,55,430.836,0.416,55,0.000,0.000,55,0.000,0.000,55
20.0,0.196133,-1075.135,0.341,52,737.269,0.444,52,0.000,0.000,52,0.000,0.000,52
50.0,0.490333,-1075.071,0.258,56,1661.321,0.538,56,0.000,0.000,56,0.000,0.000,56
