标定生成时间,20260831_162443
标定通道,传感器 1 / G.ft_1_value (导管从端侧向力/扭矩通道)
PLC接口变量,G.ft_1_value
拟合公式_G.ft_1_value,Force (N) = 0.000620117055 * G.ft_1_value + 0.62466536
斜率_k_G.ft_1_value,0.000620117055
截距_b_G.ft_1_value,0.62466536
R2_G.ft_1_value,0.999965

重量(g),实际力(N),G.ft_1_value_均值,G.ft_1_value_标准差,G.ft_1_value_有效样本,G.fn_1_value_均值,G.fn_1_value_标准差,G.fn_1_value_有效样本,G.fn_2_value_均值,G.fn_2_value_标准差,G.fn_2_value_有效样本,G.ft_2_value_均值,G.ft_2_value_标准差,G.ft_2_value_有效样本
0.0,0.000000,-1009.321,1.403,56,-46.500,2.104,56,125.000,0.000,56,-39.000,0.000,56
2.0,0.019613,-972.828,17.420,58,-50.379,4.217,58,125.000,0.000,58,-39.000,0.000,58
5.0,0.049033,-927.482,9.295,56,-49.607,4.254,56,125.000,0.000,56,-39.000,0.000,56
10.0,0.098067,-850.109,6.306,55,-48.164,0.416,55,125.000,0.000,55,-39.000,0.000,55
20.0,0.196133,-692.263,0.909,57,-48.018,0.350,57,125.000,0.000,57,-39.000,0.000,57
50.0,0.490333,-216.169,0.886,59,-45.305,0.529,59,125.000,0.000,59,-39.000,0.000,59
