标定生成时间,20260831_161727
标定通道,传感器 3 / G.fn_2_value (导丝主端轴向推拉力通道)
PLC接口变量,G.fn_2_value
拟合公式_G.fn_2_value,Force (N) = 0.001139996290 * G.fn_2_value + 0.89751126
斜率_k_G.fn_2_value,0.001139996290
截距_b_G.fn_2_value,0.89751126
R2_G.fn_2_value,0.999891

重量(g),实际力(N),G.ft_1_value_均值,G.ft_1_value_标准差,G.ft_1_value_有效样本,G.fn_1_value_均值,G.fn_1_value_标准差,G.fn_1_value_有效样本,G.fn_2_value_均值,G.fn_2_value_标准差,G.fn_2_value_有效样本,G.ft_2_value_均值,G.ft_2_value_标准差,G.ft_2_value_有效样本
0.0,0.000000,0.000,0.000,60,0.000,0.000,60,-786.283,1.684,60,66.483,1.118,60
2.0,0.019613,0.000,0.000,59,0.000,0.000,59,-767.915,1.293,59,70.847,0.860,59
5.0,0.049033,0.000,0.000,57,0.000,0.000,57,-744.737,2.988,57,74.298,1.169,57
10.0,0.098067,0.000,0.000,57,0.000,0.000,57,-703.860,16.310,57,73.439,1.414,57
20.0,0.196133,0.000,0.000,56,0.000,0.000,56,-616.214,2.555,56,74.036,1.309,56
50.0,0.490333,0.000,0.000,58,0.000,0.000,58,-356.345,1.469,58,72.845,0.925,58
