sample_index,elapsed_us,sample_valid,calibrated_valid,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v,clean_force_n,clean_handle_torque_nm
67,671864,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
68,682138,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
69,692498,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
70,702651,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
71,712875,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
72,722455,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
73,735249,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
74,744888,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
75,752467,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
76,761867,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
77,772775,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
78,782108,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
79,793150,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
80,802329,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
81,812097,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
82,822078,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
83,834871,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
84,843153,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
85,852230,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
86,862928,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
87,872648,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
88,881631,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
89,891615,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
90,901652,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
91,912390,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
92,921606,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
93,935050,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
94,944462,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
95,951636,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
96,962393,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
97,972167,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
98,982853,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
99,991632,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
100,1002371,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
101,1012590,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
102,1021857,1,1,-0.177,-1.403,-0.159,-1.403,-0.01105986975,0
103,1036535,1,1,-0.177,-1.403,-0.159,-1.403,-0.01105986975,0
104,1044706,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
105,1051591,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
106,1062094,1,1,-0.177,-1.403,-0.159,-1.403,-0.01105986975,0
107,1072824,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
108,1081843,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
109,1092134,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
110,1101580,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
111,1112428,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
112,1122650,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
113,1133312,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
114,1142281,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
115,1151556,1,1,-0.177,-1.401,-0.159,-1.403,-0.01105986975,4.222099503e-06
116,1162053,1,1,-0.176,-1.4,-0.159,-1.403,-0.01044543254,6.333149255e-06
117,1171660,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
118,1182394,1,1,-0.177,-1.402,-0.159,-1.403,-0.01105986975,2.111049752e-06
119,1192165,1,1,-0.177,-1.4,-0.159,-1.403,-0.01105986975,6.333149255e-06
120,1202685,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
121,1212427,1,1,-0.176,-1.401,-0.159,-1.403,-0.01044543254,4.222099503e-06
