tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v
111830656,-7.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111830718,-7.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111830890,-7.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111830937,-7.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111830968,-9.6736,0.0000,0.000000,0.000000,0.000000,0.000000
111831000,-14.6121,0.0000,0.000000,0.000000,0.000000,0.000000
111831046,-20.0774,0.0000,0.000000,0.000000,0.000000,0.000000
111831078,-25.4009,0.0000,0.000000,0.000000,0.000000,0.000000
111831125,-30.8740,0.0000,0.000000,0.000000,0.000000,0.000000
111831171,-37.2221,0.0000,0.000000,0.000000,0.000000,0.000000
111831203,-42.9925,0.0000,0.000000,0.000000,0.000000,0.000000
111831265,-50.1534,0.0000,0.000000,0.000000,0.000000,0.000000
111831296,-56.0325,0.0000,0.000000,0.000000,0.000000,0.000000
111831328,-61.4906,0.0000,0.000000,0.000000,0.000000,0.000000
111831375,-67.1014,0.0000,0.000000,0.000000,0.000000,0.000000
111831406,-72.5789,0.0000,0.000000,0.000000,0.000000,0.000000
111831453,-78.9090,0.0000,0.000000,0.000000,0.000000,0.000000
111831500,-84.1706,0.0000,0.000000,0.000000,0.000000,0.000000
111831546,-83.3523,0.0000,0.000000,0.000000,0.000000,0.000000
111831578,-83.1998,0.0000,0.000000,0.000000,0.000000,0.000000
111831625,-83.2006,0.0000,0.000000,0.000000,0.000000,0.000000
111831671,-83.2009,0.0000,0.000000,0.000000,0.000000,0.000000
111831703,-83.2011,0.0000,0.000000,0.000000,0.000000,0.000000
111831750,-83.2012,0.0000,0.000000,0.000000,0.000000,0.000000
111831781,-83.2014,0.0000,0.000000,0.000000,0.000000,0.000000
111831812,-83.2015,0.0000,0.000000,0.000000,0.000000,0.000000
111831859,-83.2015,0.0000,0.000000,0.000000,0.000000,0.000000
111831953,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832203,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832250,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832296,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832343,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832375,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832421,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832453,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832500,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832546,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832593,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832625,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832656,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832687,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832734,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832781,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832812,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832859,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832890,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832921,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111832968,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833000,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833046,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833078,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833140,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833171,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833203,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833250,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833281,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833328,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833375,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833421,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833468,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833515,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833562,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833609,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833656,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833703,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833750,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833796,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833843,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833906,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833953,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111833984,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834046,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834093,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834140,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834343,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834390,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834437,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834500,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834531,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834578,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834625,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834671,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834734,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834765,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834812,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834859,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834906,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111834968,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835015,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835062,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835109,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835171,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835218,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835265,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835312,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835375,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835421,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835468,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835500,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835562,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835609,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
111835656,-83.2017,0.0000,0.000000,0.000000,0.000000,0.000000
