tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v
177925953,-8.5746,-10.8298,0.000000,0.000000,0.000000,0.000000
177926000,-8.5746,-5.1636,0.000000,0.000000,0.000000,0.000000
177926046,-8.5746,-1.1702,0.000000,0.000000,0.000000,0.000000
177926093,-8.5746,-0.3513,0.000000,0.000000,0.000000,0.000000
177926140,-8.5746,-0.1782,0.000000,0.000000,0.000000,0.000000
177926187,-8.5746,-0.1373,0.000000,0.000000,0.000000,0.000000
177926234,-8.5746,-0.1239,0.000000,0.000000,0.000000,0.000000
177926265,-8.5746,-0.1143,0.000000,0.000000,0.000000,0.000000
177926328,-8.5746,-0.1048,0.000000,0.000000,0.000000,0.000000
177926375,-9.8589,-0.0964,0.000000,0.000000,0.000000,0.000000
177926406,-11.9307,-0.0869,0.000000,0.000000,0.000000,0.000000
177926453,-13.7732,-0.0779,0.000000,0.000000,0.000000,0.000000
177926500,-15.6642,-0.0683,0.000000,0.000000,0.000000,0.000000
177926546,-17.7786,-0.0556,0.000000,0.000000,0.000000,0.000000
177926593,-19.6679,-0.0415,0.000000,0.000000,0.000000,0.000000
177926625,-21.7377,-0.0313,0.000000,0.000000,0.000000,0.000000
177926671,-23.5822,-0.0255,0.000000,0.000000,0.000000,0.000000
177926718,-25.6072,-0.0211,0.000000,0.000000,0.000000,0.000000
177926781,-27.7670,-0.0179,0.000000,0.000000,0.000000,0.000000
177926812,-30.2431,-0.0147,0.000000,0.000000,0.000000,0.000000
177926859,-32.0414,-0.0134,0.000000,0.000000,0.000000,0.000000
177926906,-34.0224,-0.0115,0.000000,0.000000,0.000000,0.000000
177926937,-35.8672,-0.0102,0.000000,0.000000,0.000000,0.000000
177927000,-37.9824,-0.0089,0.000000,0.000000,0.000000,0.000000
177927046,-40.2764,-0.0077,0.000000,0.000000,0.000000,0.000000
177927078,-42.1215,-0.0064,0.000000,0.000000,0.000000,0.000000
177927125,-44.0118,-0.0057,0.000000,0.000000,0.000000,0.000000
177927171,-45.9890,-0.0038,0.000000,0.000000,0.000000,0.000000
177927218,-48.5112,-0.0026,0.000000,0.000000,0.000000,0.000000
177927265,-50.3551,-0.0013,0.000000,0.000000,0.000000,0.000000
177927312,-52.1572,-0.0006,0.000000,0.000000,0.000000,0.000000
177927359,-54.1368,0.0000,0.000000,0.000000,0.000000,0.000000
177927406,-56.3409,0.0013,0.000000,0.000000,0.000000,0.000000
177927453,-58.6366,0.0026,0.000000,0.000000,0.000000,0.000000
177927500,-60.7072,0.0038,0.000000,0.000000,0.000000,0.000000
177927546,-62.9129,0.0051,0.000000,0.000000,0.000000,0.000000
177927593,-65.1635,0.0064,0.000000,0.000000,0.000000,0.000000
177927625,-66.8718,0.0070,0.000000,0.000000,0.000000,0.000000
177927671,-68.8508,0.0077,0.000000,0.000000,0.000000,0.000000
177927703,-70.6966,0.0083,0.000000,0.000000,0.000000,0.000000
177927734,-72.0015,0.0089,0.000000,0.000000,0.000000,0.000000
177927765,-73.5317,0.0096,0.000000,0.000000,0.000000,0.000000
177927796,-75.0618,0.0102,0.000000,0.000000,0.000000,0.000000
177927843,-76.5915,0.0102,0.000000,0.000000,0.000000,0.000000
