tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v
198022437,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022468,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022515,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022562,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022609,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022671,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022703,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022750,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022796,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022843,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022890,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022937,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198022984,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023015,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023062,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023109,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023156,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023203,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023250,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023296,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023343,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023390,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023421,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023468,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023515,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023578,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023625,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023671,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023703,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023750,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023796,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
198023843,-74.1761,2668.0007,0.000000,0.000000,0.000000,0.000000
