timestamp,ft_1_value,fn_1_value,fn_2_value,ft_2_value,mode_code,reverse_code,push_pull_code,rot_sign_code,axis1_pos_rel
2026-05-28 14:45:14.638,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:14.669,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:14.704,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:14.745,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:14.788,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:14.826,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:14.862,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:14.887,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:14.917,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:14.948,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:14.987,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.029,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.061,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.092,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.118,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.146,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.186,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.223,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.262,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.298,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.331,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.362,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.390,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.418,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.447,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.487,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.541,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.571,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.608,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.637,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.677,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.707,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.736,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.769,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.813,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.852,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.907,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.942,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:15.974,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.003,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.030,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.067,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.106,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.143,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.190,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.219,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.259,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.288,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.321,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.360,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.398,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.437,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.464,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.493,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.526,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.561,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.606,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.637,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.675,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.701,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.727,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.758,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.788,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.827,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.863,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.902,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.955,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:16.984,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.014,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.040,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.070,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.112,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.150,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.176,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.202,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.234,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.271,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.318,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.357,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.388,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.417,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.450,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.477,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.507,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.541,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.580,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.627,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.654,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.693,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.728,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.762,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.798,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.833,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.872,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.911,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.945,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:17.987,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.019,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.054,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.087,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.124,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.161,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.188,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.224,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.258,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.296,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.349,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.384,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.418,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.444,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.477,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.520,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.552,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.591,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.630,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.657,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.696,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.735,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.768,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.807,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.847,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.883,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.913,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.939,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:18.976,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.007,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.053,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.092,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.130,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.161,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.189,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.232,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.267,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.306,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.347,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.378,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.414,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.445,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.474,0.000000,0.000000,0,0,0,0,0,0,-90.108452
2026-05-28 14:45:19.511,0.000000,0.000000,0,0,0,0,0,0,-90.108452
