tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,axis6_pos_abs_mm,axis7_pos_abs_mm,ain0_raw_v,ain1_raw_v
16605218,-49.2769,0.0000,635.0000,0.0018,-0.201000,0.221000
16605218,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605218,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.220000
16605234,-49.2769,0.0000,635.0000,0.0018,-0.199000,0.221000
16605234,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.220000
16605234,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605234,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.220000
16605234,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605250,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605250,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.220000
16605250,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605250,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605250,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605250,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605250,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605265,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605265,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605265,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605265,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605265,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605265,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605281,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605281,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.222000
16605281,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605281,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.222000
16605281,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605281,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605296,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605296,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605296,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.220000
16605296,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.222000
16605296,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605296,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605312,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605312,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605312,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605312,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605312,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605328,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605328,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605328,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605328,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605328,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605328,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605343,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605343,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605343,-49.2769,0.0000,635.0000,0.0018,-0.201000,0.221000
16605343,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605343,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605343,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605359,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605359,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605359,-49.2769,0.0000,635.0000,0.0018,-0.201000,0.221000
16605359,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605359,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605359,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605375,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605375,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605375,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605375,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605375,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605390,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605390,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.220000
16605390,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605390,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605390,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605390,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605390,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.222000
16605406,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605406,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.222000
16605406,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605406,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605406,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.220000
16605406,-49.2769,0.0000,635.0000,0.0018,-0.206000,0.221000
16605421,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605421,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605421,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.222000
16605421,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.220000
16605421,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605421,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605437,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605437,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605437,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605437,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.220000
16605437,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605437,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.220000
16605453,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605453,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605453,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605453,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605453,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605453,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605468,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605468,-49.2769,0.0000,635.0000,0.0018,-0.211000,0.221000
16605468,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605468,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605468,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605468,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605484,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605484,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605484,-49.2769,0.0000,635.0000,0.0018,-0.210000,0.221000
16605484,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605484,-49.2769,0.0000,635.0000,0.0018,-0.201000,0.221000
16605484,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605500,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605500,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.222000
16605500,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605500,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.222000
16605500,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605500,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605515,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605515,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605515,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605515,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605515,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605515,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.222000
16605531,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605531,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605531,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605531,-49.2769,0.0000,635.0000,0.0018,-0.199000,0.221000
16605531,-49.2769,0.0000,635.0000,0.0018,-0.200000,0.221000
16605531,-49.2769,0.0000,635.0000,0.0018,-0.201000,0.221000
16605546,-49.2769,0.0000,635.0000,0.0018,-0.201000,0.221000
