timestamp,ft_1_value,fn_1_value,mode_code,reverse_code,push_pull_code,rot_sign_code
2026-04-10 10:34:45.811,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.811,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.811,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.811,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.837,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.837,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.902,-3.704000,-0.139000,0,0,0,0
2026-04-10 10:34:45.902,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.902,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.902,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.951,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.951,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.951,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.996,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.996,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:45.996,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.028,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.028,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.064,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.064,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.098,-3.703000,-0.138000,0,0,0,0
2026-04-10 10:34:46.098,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.098,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.134,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.134,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.168,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.168,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.200,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.200,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.243,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.243,-3.704000,-0.138000,0,0,0,0
2026-04-10 10:34:46.243,-3.705000,-0.138000,0,0,0,0
2026-04-10 10:34:46.290,-3.704000,-0.138000,0,0,0,0
