tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,axis6_pos_abs_mm,axis7_pos_abs_mm,ain0_raw_v,ain1_raw_v
2496718,0.0000,0.0000,0.0000,0.0000,-0.538000,0.174000
2496718,0.0000,0.0000,0.0000,0.0000,-0.539000,0.174000
2496718,0.0000,0.0000,0.0000,0.0000,-0.538000,0.174000
2496718,0.0000,0.0000,0.0000,0.0000,-0.539000,0.174000
2496718,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496734,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496734,42.3216,10.9289,2.7321,0.0000,-0.538000,0.174000
2496734,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496734,42.3216,10.9289,2.7321,0.0000,-0.538000,0.174000
2496734,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496734,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496750,42.3216,10.9289,2.7321,0.0000,-0.538000,0.174000
2496750,42.3216,10.9289,2.7321,0.0000,-0.539000,0.175000
2496750,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496750,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496750,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496750,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496765,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496765,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496765,42.3216,10.9289,2.7321,0.0000,-0.539000,0.175000
2496765,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496765,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496765,42.3216,10.9289,2.7321,0.0000,-0.538000,0.174000
2496781,42.3216,10.9289,2.7321,0.0000,-0.538000,0.174000
2496781,42.3216,10.9289,2.7321,0.0000,-0.539000,0.175000
2496781,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496781,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496781,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496781,42.3216,10.9289,2.7321,0.0000,-0.539000,0.175000
2496781,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496796,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496796,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496796,42.3216,10.9289,2.7321,0.0000,-0.538000,0.174000
2496796,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496796,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496796,42.3216,10.9289,2.7321,0.0000,-0.539000,0.174000
2496812,42.3216,10.9289,2.7321,0.0000,-0.539000,0.175000
