tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v
134924671,76.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134924718,76.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134924750,76.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134924781,76.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134924828,76.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134924859,76.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134924906,76.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134924937,76.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134924984,76.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134925015,76.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134925062,72.9888,0.0000,0.000000,0.000000,0.000000,0.000000
134925093,66.9678,0.0000,0.000000,0.000000,0.000000,0.000000
134925140,61.5945,0.0000,0.000000,0.000000,0.000000,0.000000
134925171,56.5005,0.0000,0.000000,0.000000,0.000000,0.000000
134925203,51.3928,0.0000,0.000000,0.000000,0.000000,0.000000
134925250,45.9880,0.0000,0.000000,0.000000,0.000000,0.000000
134925281,40.1450,0.0000,0.000000,0.000000,0.000000,0.000000
134925328,34.6428,0.0000,0.000000,0.000000,0.000000,0.000000
134925359,29.2790,0.0000,0.000000,0.000000,0.000000,0.000000
134925390,24.3367,0.0000,0.000000,0.000000,0.000000,0.000000
134925437,18.2271,0.0000,0.000000,0.000000,0.000000,0.000000
134925468,13.1253,0.0000,0.000000,0.000000,0.000000,0.000000
134925515,7.5944,0.0000,0.000000,0.000000,0.000000,0.000000
134925546,1.8084,0.0000,0.000000,0.000000,0.000000,0.000000
134925578,-0.5652,0.0000,0.000000,0.000000,0.000000,0.000000
134925625,-0.2936,0.0000,0.000000,0.000000,0.000000,0.000000
134925671,0.0168,0.0000,0.000000,0.000000,0.000000,0.000000
134925718,0.0161,0.0000,0.000000,0.000000,0.000000,0.000000
134925750,0.0160,0.0000,0.000000,0.000000,0.000000,0.000000
134925781,0.0157,0.0000,0.000000,0.000000,0.000000,0.000000
134925843,0.0155,0.0000,0.000000,0.000000,0.000000,0.000000
134925875,0.0155,0.0000,0.000000,0.000000,0.000000,0.000000
134925921,0.0154,0.0000,0.000000,0.000000,0.000000,0.000000
134925953,0.0154,0.0000,0.000000,0.000000,0.000000,0.000000
134926000,0.0154,0.0000,0.000000,0.000000,0.000000,0.000000
134926031,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926078,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926109,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926140,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926187,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926218,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926265,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926296,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926343,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926390,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926421,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926453,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926500,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926531,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926578,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926625,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926656,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926703,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926734,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926765,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926812,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926843,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926890,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926921,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
134926953,0.0152,0.0000,0.000000,0.000000,0.000000,0.000000
