tick_ms,axis1_pos_abs_mm,axis2_pos_abs_mm,fn_1_raw_v,ft_1_raw_v,fn_1_zero_v,ft_1_zero_v
267483296,5.5826,1075.2842,0.000000,0.000000,0.000000,0.000000
267483328,7.3218,1072.1818,0.000000,0.000000,0.000000,0.000000
267483375,8.9862,1065.4067,0.000000,0.000000,0.000000,0.000000
267483421,10.8760,1056.3647,0.000000,0.000000,0.000000,0.000000
267483468,11.7025,1044.8079,0.000000,0.000000,0.000000,0.000000
267483515,11.7024,1033.9640,0.000000,0.000000,0.000000,0.000000
267483562,11.7024,1024.4238,0.000000,0.000000,0.000000,0.000000
267483593,11.7024,1014.6983,0.000000,0.000000,0.000000,0.000000
267483640,11.7024,1006.7735,0.000000,0.000000,0.000000,0.000000
267483687,11.7024,995.7348,0.000000,0.000000,0.000000,0.000000
267483734,11.7024,985.9716,0.000000,0.000000,0.000000,0.000000
267483765,11.7024,977.8424,0.000000,0.000000,0.000000,0.000000
267483812,11.7024,968.7876,0.000000,0.000000,0.000000,0.000000
267483859,11.7024,959.6510,0.000000,0.000000,0.000000,0.000000
267483906,11.7024,948.3415,0.000000,0.000000,0.000000,0.000000
267483937,11.7025,939.2624,0.000000,0.000000,0.000000,0.000000
267483984,11.7025,930.5455,0.000000,0.000000,0.000000,0.000000
267484031,11.7025,920.7434,0.000000,0.000000,0.000000,0.000000
267484078,11.7025,911.6133,0.000000,0.000000,0.000000,0.000000
267484109,11.7025,901.2152,0.000000,0.000000,0.000000,0.000000
267484156,11.7025,892.1432,0.000000,0.000000,0.000000,0.000000
267484203,11.7025,882.3519,0.000000,0.000000,0.000000,0.000000
267484234,11.7025,873.4332,0.000000,0.000000,0.000000,0.000000
267484281,11.7025,863.8342,0.000000,0.000000,0.000000,0.000000
267484343,11.7025,852.7303,0.000000,0.000000,0.000000,0.000000
267484390,11.7025,840.2161,0.000000,0.000000,0.000000,0.000000
267484437,11.7025,830.6318,0.000000,0.000000,0.000000,0.000000
267484484,11.7025,820.5697,0.000000,0.000000,0.000000,0.000000
267484531,11.7025,810.9413,0.000000,0.000000,0.000000,0.000000
267484578,11.7025,799.0895,0.000000,0.000000,0.000000,0.000000
267484609,11.7025,789.4349,0.000000,0.000000,0.000000,0.000000
267484656,11.7025,779.9905,0.000000,0.000000,0.000000,0.000000
267484687,11.7025,771.0360,0.000000,0.000000,0.000000,0.000000
267484734,11.7025,762.4948,0.000000,0.000000,0.000000,0.000000
267484796,11.7025,749.8841,0.000000,0.000000,0.000000,0.000000
267484843,11.7025,738.4475,0.000000,0.000000,0.000000,0.000000
267484890,11.7025,728.9290,0.000000,0.000000,0.000000,0.000000
267484937,11.7025,720.1923,0.000000,0.000000,0.000000,0.000000
267484968,11.7025,709.0507,0.000000,0.000000,0.000000,0.000000
267485015,11.7025,698.6763,0.000000,0.000000,0.000000,0.000000
267485062,11.7025,689.7339,0.000000,0.000000,0.000000,0.000000
267485093,11.7025,681.5057,0.000000,0.000000,0.000000,0.000000
267485140,11.7025,672.1091,0.000000,0.000000,0.000000,0.000000
267485187,11.7025,663.2032,0.000000,0.000000,0.000000,0.000000
267485250,11.7025,651.6151,0.000000,0.000000,0.000000,0.000000
267485281,11.7025,639.0952,0.000000,0.000000,0.000000,0.000000
267485328,11.7025,630.4268,0.000000,0.000000,0.000000,0.000000
267485375,11.7025,620.4612,0.000000,0.000000,0.000000,0.000000
267485421,11.7025,611.1809,0.000000,0.000000,0.000000,0.000000
267485453,11.7025,600.8391,0.000000,0.000000,0.000000,0.000000
267485500,11.7025,592.0143,0.000000,0.000000,0.000000,0.000000
267485546,11.7025,582.7321,0.000000,0.000000,0.000000,0.000000
267485593,11.7025,572.6112,0.000000,0.000000,0.000000,0.000000
267485625,11.7025,563.0985,0.000000,0.000000,0.000000,0.000000
267485671,11.7025,552.8997,0.000000,0.000000,0.000000,0.000000
267485718,11.7025,543.4342,0.000000,0.000000,0.000000,0.000000
267485765,11.7025,533.9431,0.000000,0.000000,0.000000,0.000000
267485796,11.7025,525.5367,0.000000,0.000000,0.000000,0.000000
267485843,11.7025,517.2222,0.000000,0.000000,0.000000,0.000000
267485890,11.7025,507.7650,0.000000,0.000000,0.000000,0.000000
267485921,11.7025,498.2510,0.000000,0.000000,0.000000,0.000000
267485968,11.7025,489.5072,0.000000,0.000000,0.000000,0.000000
267486000,11.7025,480.5323,0.000000,0.000000,0.000000,0.000000
267486046,11.7025,471.2239,0.000000,0.000000,0.000000,0.000000
267486109,11.7025,459.7566,0.000000,0.000000,0.000000,0.000000
267486156,11.7025,448.3238,0.000000,0.000000,0.000000,0.000000
267486203,11.7025,438.5664,0.000000,0.000000,0.000000,0.000000
267486234,11.7025,429.0645,0.000000,0.000000,0.000000,0.000000
267486281,11.7025,419.5242,0.000000,0.000000,0.000000,0.000000
267486328,11.7025,409.5963,0.000000,0.000000,0.000000,0.000000
267486375,11.7025,400.3384,0.000000,0.000000,0.000000,0.000000
267486406,11.7025,390.8269,0.000000,0.000000,0.000000,0.000000
267486453,11.7025,381.2854,0.000000,0.000000,0.000000,0.000000
