timestamp,ft_1_value,fn_1_value,fn_2_value,ft_2_value,mode_code,reverse_code,push_pull_code,rot_sign_code,axis1_pos_rel
2026-04-06 17:37:28.795,-313,2196,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:28.838,-313,2196,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:28.882,-313,2190,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:28.929,-298,2190,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:28.984,-298,2160,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.027,-301,2166,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.062,-302,2166,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.096,-302,2205,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.130,2186,2205,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.173,2186,2200,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.216,-293,2200,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.258,-293,2150,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.299,-336,2150,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.351,-290,2201,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.415,-290,2148,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.454,-336,2182,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.493,-306,2182,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.531,-306,2165,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.571,-327,2165,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.618,-327,2202,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.657,-329,2202,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.697,-329,2179,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.738,-314,-313,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.775,-307,-313,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.829,-307,2155,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.869,-295,2155,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.909,-295,2170,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.948,-295,2170,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:29.991,-295,2170,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.034,-295,2170,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.073,-295,2170,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.110,-333,2170,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.140,-333,2197,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.171,-299,2197,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.201,-299,2185,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.227,-299,2185,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.254,-307,2185,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.281,-307,2185,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.307,2154,2185,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.349,2154,2160,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.388,2154,2160,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.427,2154,2160,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.466,2154,2160,0,0,0,0,0,0,-75.999815
2026-04-06 17:37:30.495,-287,2160,0,0,0,0,0,0,-75.999815
