timestamp,ft_1_value,fn_1_value,fn_2_value,ft_2_value,mode_code,reverse_code,push_pull_code,rot_sign_code
2026-04-06 15:05:14.807,-413,-59,292,-420,0,0,0,0
2026-04-06 15:05:14.839,-414,-59,292,-419,0,0,0,0
2026-04-06 15:05:14.867,-414,-57,263,-419,0,0,0,0
2026-04-06 15:05:14.924,-417,-57,263,-419,0,0,0,0
2026-04-06 15:05:14.973,-417,-52,269,-419,0,0,0,0
2026-04-06 15:05:15.012,-414,-49,259,-420,0,0,0,0
2026-04-06 15:05:15.051,-418,-49,259,-420,0,0,0,0
2026-04-06 15:05:15.090,-418,-50,272,-420,0,0,0,0
2026-04-06 15:05:15.129,-417,-50,272,-421,0,0,0,0
2026-04-06 15:05:15.177,-417,-54,280,-421,0,0,0,0
2026-04-06 15:05:15.204,-420,-54,280,-420,0,0,0,0
2026-04-06 15:05:15.230,-420,-52,275,-420,0,0,0,0
2026-04-06 15:05:15.264,-420,-52,275,-419,0,0,0,-1
2026-04-06 15:05:15.303,-420,-61,279,-419,0,0,0,-1
2026-04-06 15:05:15.346,-411,-61,279,-419,0,0,0,0
2026-04-06 15:05:15.385,-411,-51,291,-419,0,0,0,1
2026-04-06 15:05:15.485,-418,-47,272,-421,0,0,0,1
2026-04-06 15:05:15.528,-418,-57,267,-421,0,0,0,1
2026-04-06 15:05:15.565,-414,-57,267,-421,0,0,0,1
2026-04-06 15:05:15.611,-414,-51,288,-421,0,0,0,1
2026-04-06 15:05:15.649,-421,-51,288,-419,0,0,0,1
2026-04-06 15:05:15.688,-421,-57,285,-419,0,0,-1,1
2026-04-06 15:05:15.729,-421,-55,289,-420,0,0,-1,1
2026-04-06 15:05:15.772,-425,-55,289,-420,0,0,-1,1
2026-04-06 15:05:15.814,-425,-53,278,-420,0,0,-1,1
2026-04-06 15:05:15.853,-404,-53,278,-418,0,0,-1,1
2026-04-06 15:05:15.893,-404,-57,284,-418,0,0,-1,1
2026-04-06 15:05:15.924,-438,-57,284,-419,0,0,-1,1
2026-04-06 15:05:15.955,-438,-40,271,-419,0,0,-1,1
2026-04-06 15:05:15.996,-411,-40,271,-423,0,0,-1,1
2026-04-06 15:05:16.047,-411,-60,267,-423,0,0,-1,1
2026-04-06 15:05:16.090,-414,-54,274,-418,0,0,-1,1
2026-04-06 15:05:16.128,-440,-54,274,-422,0,0,-1,1
2026-04-06 15:05:16.167,-440,-55,267,-422,0,0,-1,1
2026-04-06 15:05:16.209,-462,-55,267,-416,0,0,-1,1
2026-04-06 15:05:16.248,-462,-61,257,-416,0,0,-1,1
2026-04-06 15:05:16.283,-419,-61,257,-424,0,0,-1,1
2026-04-06 15:05:16.310,-419,-52,276,-424,0,0,-1,1
2026-04-06 15:05:16.342,-419,-52,276,-424,0,0,-1,1
2026-04-06 15:05:16.399,-466,-49,279,-420,0,0,-1,1
2026-04-06 15:05:16.441,-443,-49,279,-421,0,0,-1,1
2026-04-06 15:05:16.480,-443,-63,279,-421,0,0,-1,1
2026-04-06 15:05:16.519,-446,-44,279,-420,0,0,-1,1
2026-04-06 15:05:16.558,-446,-44,269,-420,0,0,-1,1
2026-04-06 15:05:16.600,-431,-45,288,-420,0,0,-1,1
2026-04-06 15:05:16.639,-436,-45,288,-420,0,0,-1,1
2026-04-06 15:05:16.667,-436,-45,284,-420,0,0,-1,1
2026-04-06 15:05:16.694,-436,-45,284,-420,0,0,-1,1
2026-04-06 15:05:16.724,-439,-45,284,-421,0,0,-1,1
2026-04-06 15:05:16.777,-441,-45,265,-421,0,0,-1,1
2026-04-06 15:05:16.825,-441,-49,258,-419,0,0,0,0
2026-04-06 15:05:16.863,-433,-49,258,-419,0,0,1,-1
2026-04-06 15:05:16.902,-433,-49,290,-419,0,0,1,-1
2026-04-06 15:05:16.942,-435,-49,290,-419,0,0,1,-1
2026-04-06 15:05:16.984,-435,-46,287,-419,0,0,1,-1
2026-04-06 15:05:17.023,-443,-32,287,-420,0,0,1,-1
2026-04-06 15:05:17.049,-443,-32,292,-420,0,0,1,-1
2026-04-06 15:05:17.075,-436,-32,292,-419,0,0,1,-1
2026-04-06 15:05:17.103,-436,-3,292,-419,0,0,1,-1
2026-04-06 15:05:17.156,-441,-3,292,-421,0,0,1,-1
2026-04-06 15:05:17.182,-441,-3,293,-421,0,0,1,-1
2026-04-06 15:05:17.212,-441,-3,293,-428,0,0,1,-1
2026-04-06 15:05:17.238,-333,-3,281,-428,0,0,1,-1
2026-04-06 15:05:17.275,-333,-3,281,-428,0,0,1,-1
2026-04-06 15:05:17.317,-333,-3,288,-423,0,0,1,-1
2026-04-06 15:05:17.356,-440,-3,288,-424,0,0,1,-1
2026-04-06 15:05:17.394,-440,-3,298,-424,0,0,1,-1
2026-04-06 15:05:17.439,-444,-3,298,-415,0,0,1,-1
2026-04-06 15:05:17.465,-444,-28,269,-415,0,0,1,-1
2026-04-06 15:05:17.496,-448,-28,269,-424,0,0,1,-1
2026-04-06 15:05:17.523,-448,-28,269,-424,0,0,1,-1
2026-04-06 15:05:17.549,-448,-28,269,-424,0,0,1,-1
2026-04-06 15:05:17.576,-448,-28,269,-414,0,0,1,-1
2026-04-06 15:05:17.602,-448,-28,270,-414,0,0,1,0
2026-04-06 15:05:17.642,-354,-28,270,-423,0,0,1,0
2026-04-06 15:05:17.681,-354,-28,267,-423,0,0,1,0
2026-04-06 15:05:17.720,-441,-28,267,-419,0,0,1,-1
2026-04-06 15:05:17.759,-441,-28,287,-419,0,0,1,-1
2026-04-06 15:05:17.789,-441,-28,287,-419,0,0,1,-1
2026-04-06 15:05:17.826,-382,-28,291,-419,0,0,1,-1
2026-04-06 15:05:17.852,-382,-28,291,-419,0,0,1,-1
2026-04-06 15:05:17.878,-382,-28,291,-423,0,0,1,-1
2026-04-06 15:05:17.904,-429,-28,288,-423,0,0,1,-1
2026-04-06 15:05:17.931,-429,-28,288,-420,0,0,1,-1
2026-04-06 15:05:17.960,-429,-28,286,-420,0,0,1,-1
2026-04-06 15:05:17.986,-429,-28,286,-420,0,0,1,-1
2026-04-06 15:05:18.025,-358,-28,286,-420,0,0,1,-1
2026-04-06 15:05:18.064,-358,-28,300,-420,0,0,0,-1
2026-04-06 15:05:18.103,-447,-28,300,-421,0,0,0,0
2026-04-06 15:05:18.140,-447,-12,300,-421,0,0,0,0
2026-04-06 15:05:18.167,-447,-12,300,-420,0,0,0,0
2026-04-06 15:05:18.193,-408,-12,284,-420,0,0,0,0
2026-04-06 15:05:18.221,-408,-12,284,-420,0,0,0,0
2026-04-06 15:05:18.247,-408,-12,294,-420,0,0,-1,0
2026-04-06 15:05:18.275,-408,-12,294,-420,0,0,-1,0
2026-04-06 15:05:18.302,-418,-12,294,-421,0,0,-1,0
2026-04-06 15:05:18.331,-418,-12,270,-421,0,0,-1,0
2026-04-06 15:05:18.365,-418,-12,270,-419,0,0,-1,-1
2026-04-06 15:05:18.404,-408,-12,289,-419,0,0,-1,-1
2026-04-06 15:05:18.467,-400,-59,285,-420,0,0,-1,-1
2026-04-06 15:05:18.503,-400,-71,285,-420,0,0,-1,-1
2026-04-06 15:05:18.529,-328,-71,285,-419,0,0,-1,-1
2026-04-06 15:05:18.555,-328,-71,277,-419,0,0,-1,-1
2026-04-06 15:05:18.581,-328,-71,277,-419,0,0,-1,-1
2026-04-06 15:05:18.609,-366,-71,279,-419,0,0,-1,-1
2026-04-06 15:05:18.635,-366,-98,279,-419,0,0,-1,-1
2026-04-06 15:05:18.664,-366,-98,279,-424,0,0,-1,0
2026-04-06 15:05:18.691,-399,-98,287,-424,0,0,-1,0
2026-04-06 15:05:18.719,-399,-61,287,-424,0,0,-1,0
2026-04-06 15:05:18.763,-440,-61,270,-415,0,0,-1,0
2026-04-06 15:05:18.802,-440,-89,270,-417,0,0,-1,0
2026-04-06 15:05:18.842,-431,-89,282,-417,0,0,-1,0
2026-04-06 15:05:18.880,-431,-85,282,-419,0,0,-1,0
2026-04-06 15:05:18.907,-433,-85,282,-419,0,0,-1,0
2026-04-06 15:05:18.935,-433,-54,282,-419,0,0,-1,0
2026-04-06 15:05:18.961,-453,-54,282,-419,0,0,-1,0
2026-04-06 15:05:18.987,-453,-54,282,-421,0,0,-1,0
2026-04-06 15:05:19.013,-453,-59,282,-421,0,0,-1,0
2026-04-06 15:05:19.039,-469,-59,277,-421,0,0,-1,0
